2018,100,Danilo Gallinari,LAC,7,44,46,23,19,6,2.5,0.7,0.3,1.4,62.2,2.4,0.001,22.4,13,0,0,0
2018,100,Kevin Love,CLE,15,4,48,0,19,13.5,3.5,0.3,0.3,2.5,47.8,1.8,0,25.5,11.9,5,1,0
2018,100,Jamal Murray,DEN,2,45,45,31,18.8,4.5,4.9,0.8,0.4,2.4,52.8,1.9,0.002,24.8,10.5,0,0,0
2018,100,John Collins,ATL,12,30,46,10,18.8,10.4,2.4,0.2,0.4,2.2,63.1,0.8,0.001,22.4,13.8,0,0,0
2018,100,Lou Williams,LAC,7,40,46,24,18.7,2.8,4.9,0.6,0.1,2.3,55.9,1.3,0.002,29.9,14.6,0,0,0
2018,100,JJ Redick,PHI,4,46,48,30,18.4,2.2,2.8,0.4,0.2,1.4,60.2,3,0.003,21.7,10.5,0,0,0
2018,100,Caris LeVert,BKN,6,14,48,6,18.4,4.3,3.7,1.2,0.4,2.1,55.7,1.4,0.001,26.1,11.9,0,0,0
2018,100,T.J. Warren,PHX,15,42,48,10,18.3,4.1,1.5,1.2,0.7,1.2,57.9,1.8,0.001,22.3,9.9,0,0,0
2018,100,Harrison Barnes,SAC,10,42,47,18,17.9,4.2,1.1,0.7,0.2,1.4,54.5,2.5,0.002,22.8,9,0,0,0
2018,100,Josh Richardson,MIA,7,43,45,21,17.8,3.8,3.9,1.1,0.5,1.7,53.6,2.5,0.003,21.8,9.9,0,0,0
2018,100,Clint Capela,HOU,5,42,46,24,17.6,12.6,1.5,0.6,1.8,1.5,64.2,0,0.001,19.1,15.3,0,0,0
2018,100,Andrew Wiggins,MIN,11,42,46,21,17.5,4.3,2.2,1,0.5,1.7,49.2,1.7,0.002,23.6,7.4,0,0,0
2018,100,De'Aaron Fox,SAC,10,47,47,24,17.4,3.6,7.3,1.8,0.5,2.9,55,1.1,0.002,24,12.1,0,0,0
2018,100,Khris Middleton,MIL,1,44,46,32,17.3,5.8,4.1,1.1,0.1,2.2,55.6,2.4,0.003,23.7,11.2,0,0,1
2018,100,Spencer Dinwiddie,BKN,6,48,48,25,17,2.5,5.1,0.6,0.2,2.4,59.5,2,0.001,24,11.5,0,0,0
2018,100,Lauri Markkanen,CHI,13,24,47,6,17,7.1,0.9,0.9,0.8,1.7,54.5,2.5,0.001,24,11.4,0,0,0
2018,100,Nikola Mirotic,MIL,1,31,46,14,16.9,8.3,1.1,0.7,0.8,1.2,59.5,2.6,0.002,20.9,12.1,0,0,0
2018,100,Jordan Clarkson,CLE,15,47,48,8,16.8,3.2,2.3,0.7,0.2,1.7,53.9,1.8,0.001,27.3,10.7,0,0,0
2018,100,Ben Simmons,PHI,4,47,48,31,16.5,9.4,8.2,1.3,0.8,3.5,58.9,0,0.002,21.6,15.8,0,0,1
2018,100,Deandre Ayton,PHX,15,47,48,11,16.4,10.6,2,0.8,1,1.8,61.9,0,0.001,20.8,14.7,0,0,0
2018,100,Jayson Tatum,BOS,5,47,47,29,16.4,6.3,1.8,1,0.8,1.5,55.6,1.7,0.003,22.1,11.1,0,0,0
2018,100,Brandon Ingram,LAL,9,37,48,20,16.4,4.9,2.9,0.6,0.6,2.6,52,0.5,0.002,22.7,8.1,0,0,0
2018,100,Andre Drummond,DET,9,44,46,20,16.3,14.9,1.2,1.5,1.7,2.5,51.3,0.1,0.002,23.4,14,2,1,0
2018,100,Serge Ibaka,TOR,2,44,48,33,16.2,7.2,1.4,0.5,1.3,1.8,58.8,0.8,0.002,23.5,11.3,0,0,0
2018,100,Trae Young,ATL,12,46,46,14,16.1,3.1,7.2,0.9,0.2,4.1,50.8,1.5,0.001,26.4,9.8,0,0,0
